# Loading file                ::   ../data.csv
# Frequency vector size       ::   180001
# Magnitude vector size       ::   180001
# Smoothing frequency vector  ::   geomspace(start=0.1, stop=20, n=512)
# Elapsed Time                ::   0.88593 seconds
sfrqs,smags
0.449712,18.2434
0.454399,18.2478
0.459135,18.2337
0.46392,18.2008
0.468755,18.1519
0.473641,18.0924
0.478577,18.0297
0.483565,17.9721
0.488605,17.9276
0.493698,17.903
0.498843,17.9031
0.504042,17.9304
0.509296,17.9851
0.514604,18.0658
0.519967,18.1696
0.525387,18.2927
0.530863,18.4307
0.536395,18.5791
0.541986,18.7332
0.547635,18.8889
0.553343,19.0423
0.55911,19.19
0.564937,19.3285
0.570825,19.4541
0.576774,19.5628
0.582786,19.6491
0.58886,19.7064
0.594997,19.7273
0.601199,19.7035
0.607465,19.6275
0.613796,19.4937
0.620193,19.2994
0.626657,19.0457
0.633188,18.7372
0.639788,18.3817
0.646456,17.9887
0.653194,17.5685
0.660002,17.13
0.66688,16.6801
0.673831,16.2229
0.680854,15.7599
0.68795,15.2913
0.69512,14.8174
0.702365,14.3396
0.709685,13.8623
0.717082,13.3925
0.724556,12.9403
0.732108,12.5166
0.739738,12.1322
0.747448,11.7957
0.755238,11.5117
0.763109,11.2808
0.771063,11.0992
0.779099,10.9596
0.787219,10.8534
0.795424,10.772
0.803715,10.7086
0.812091,10.66
0.820555,10.6267
0.829107,10.6129
0.837749,10.6254
0.84648,10.6725
0.855303,10.7619
0.864217,10.8995
0.873224,11.0882
0.882325,11.3272
0.891521,11.6127
0.900813,11.9377
0.910202,12.2943
0.919688,12.6744
0.929274,13.0709
0.938959,13.4794
0.948745,13.8975
0.958634,14.3249
0.968625,14.7622
0.978721,15.2097
0.988921,15.6651
0.999228,16.1229
1.00964,16.5728
1.02017,17.0004
1.0308,17.3874
1.04154,17.7139
1.0524,17.9597
1.06337,18.1072
1.07445,18.1431
1.08565,18.0604
1.09696,17.859
1.1084,17.5462
1.11995,17.1356
1.13162,16.6461
1.14341,16.0997
1.15533,15.5195
1.16737,14.9278
1.17954,14.3438
1.19183,13.7827
1.20426,13.2546
1.21681,12.7646
1.22949,12.3126
1.2423,11.8947
1.25525,11.5042
1.26833,11.1329
1.28155,10.7727
1.29491,10.4165
1.30841,10.0594
1.32204,9.69881
1.33582,9.33474
1.34974,8.96924
1.36381,8.60591
1.37803,8.24904
1.39239,7.90293
1.4069,7.57127
1.42156,7.2569
1.43638,6.96173
1.45135,6.68695
1.46648,6.43342
1.48176,6.20208
1.49721,5.99431
1.51281,5.81204
1.52858,5.65774
1.54451,5.534
1.56061,5.44305
1.57687,5.38625
1.59331,5.3635
1.60991,5.37295
1.62669,5.41078
1.64365,5.47137
1.66078,5.54776
1.67809,5.63243
1.69558,5.71837
1.71325,5.80009
1.7311,5.87463
1.74915,5.94212
1.76738,6.00582
1.7858,6.07159
1.80441,6.14693
1.82322,6.23959
1.84222,6.35615
1.86142,6.50077
1.88082,6.67434
1.90042,6.87407
1.92023,7.09375
1.94024,7.32428
1.96047,7.55463
1.9809,7.77284
2.00154,7.96692
2.02241,8.12569
2.04348,8.23941
2.06478,8.30022
2.0863,8.30256
2.10805,8.24344
2.13002,8.12263
2.15222,7.94288
2.17465,7.70993
2.19731,7.43222
2.22022,7.12044
2.24336,6.7867
2.26674,6.44349
2.29036,6.10258
2.31423,5.77408
2.33835,5.46567
2.36273,5.18228
2.38735,4.92609
2.41223,4.69699
